"","NAME","laborforcechildren"
"1","Census Tract 1, Suffolk County, Massachusetts",158
"2","Census Tract 2.01, Suffolk County, Massachusetts",141
"3","Census Tract 2.02, Suffolk County, Massachusetts",162
"4","Census Tract 3.01, Suffolk County, Massachusetts",214
"5","Census Tract 3.02, Suffolk County, Massachusetts",257
"6","Census Tract 4.01, Suffolk County, Massachusetts",140
"7","Census Tract 4.02, Suffolk County, Massachusetts",146
"8","Census Tract 5.02, Suffolk County, Massachusetts",37
"9","Census Tract 5.03, Suffolk County, Massachusetts",67
"10","Census Tract 5.04, Suffolk County, Massachusetts",64
"11","Census Tract 6.01, Suffolk County, Massachusetts",133
"12","Census Tract 6.02, Suffolk County, Massachusetts",81
"13","Census Tract 7.01, Suffolk County, Massachusetts",32
"14","Census Tract 7.03, Suffolk County, Massachusetts",0
"15","Census Tract 7.04, Suffolk County, Massachusetts",15
"16","Census Tract 8.02, Suffolk County, Massachusetts",159
"17","Census Tract 8.03, Suffolk County, Massachusetts",0
"18","Census Tract 101.03, Suffolk County, Massachusetts",0
"19","Census Tract 101.04, Suffolk County, Massachusetts",41
"20","Census Tract 102.03, Suffolk County, Massachusetts",0
"21","Census Tract 102.04, Suffolk County, Massachusetts",0
"22","Census Tract 103, Suffolk County, Massachusetts",0
"23","Census Tract 104.03, Suffolk County, Massachusetts",23
"24","Census Tract 104.04, Suffolk County, Massachusetts",50
"25","Census Tract 104.05, Suffolk County, Massachusetts",0
"26","Census Tract 104.08, Suffolk County, Massachusetts",18
"27","Census Tract 105, Suffolk County, Massachusetts",121
"28","Census Tract 106, Suffolk County, Massachusetts",93
"29","Census Tract 107.01, Suffolk County, Massachusetts",12
"30","Census Tract 107.02, Suffolk County, Massachusetts",86
"31","Census Tract 108.01, Suffolk County, Massachusetts",50
"32","Census Tract 108.02, Suffolk County, Massachusetts",54
"33","Census Tract 201.01, Suffolk County, Massachusetts",364
"34","Census Tract 202, Suffolk County, Massachusetts",121
"35","Census Tract 203.01, Suffolk County, Massachusetts",72
