NAMELSAD,afterschool.no,afterschool.yes,afterschool.unknown,meancapa,Part-Time,PartorFull,Full-Time,duration.fullyear,duration.schoolyear,duration.summer,duration.unknown,ncenters,English,Engl.unknown,Spanish,Span.unknown,French,Fren.unknown,Port,Port.unknown,Chinese,Chin.unknown,Cantonese,Cant.unknown,dropin.no,dropin.yes,dropin.unknown,openholiday.no,openholiday.yes,openholiday.unknown,emergency.no,emergency.yes,emergency.unknown
Census Tract 1,4,1,NA,37.4,3,NA,5,5,NA,NA,NA,5,5,NA,3,2,NA,5,1,4,NA,5,NA,5,5,NA,NA,5,NA,NA,5,NA,NA
Census Tract 1001,3,5,NA,28.375,5,NA,8,8,NA,NA,NA,8,5,3,6,2,NA,8,NA,8,NA,8,NA,8,8,NA,NA,8,NA,NA,7,1,NA
Census Tract 1002,4,2,3,9.77777777777778,4,8,6,6,NA,NA,3,9,5,4,4,5,1,8,NA,9,NA,9,NA,9,5,1,3,6,NA,3,5,1,3
Census Tract 1003,NA,3,1,33,4,NA,4,3,NA,NA,1,4,4,NA,2,2,1,3,NA,4,NA,4,NA,4,3,NA,1,2,1,1,3,1,NA
Census Tract 1004,5,2,1,14.625,6,3,7,7,NA,NA,1,8,7,1,3,5,1,7,NA,8,NA,8,NA,8,7,NA,1,7,NA,1,7,NA,1
Census Tract 1005,2,5,1,12.75,7,2,7,7,NA,NA,1,8,7,1,3,5,NA,8,NA,8,NA,8,NA,8,7,NA,1,7,NA,1,6,1,1
Census Tract 1006.01,2,1,NA,9.33333333333333,2,NA,3,3,NA,NA,NA,3,3,NA,1,2,NA,3,NA,3,NA,3,NA,3,3,NA,NA,3,NA,NA,3,NA,NA
Census Tract 1006.03,1,NA,NA,29,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
Census Tract 1007,2,NA,NA,9,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,2,NA,NA,2,NA,NA,2,NA,NA
Census Tract 1008,1,1,1,25,1,3,2,2,NA,NA,1,3,2,1,2,1,NA,3,NA,3,NA,3,NA,3,2,NA,1,1,1,1,2,NA,1
Census Tract 1009,1,3,1,9.2,4,2,4,4,NA,NA,1,5,4,1,3,2,NA,5,NA,5,NA,5,NA,5,3,1,1,4,NA,1,3,1,1
Census Tract 101.03,1,NA,NA,22,1,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
Census Tract 1010.01,6,3,NA,23.6666666666667,6,NA,9,9,NA,NA,NA,9,9,NA,2,7,1,8,NA,9,NA,9,NA,9,8,1,NA,9,NA,NA,7,2,NA
Census Tract 1010.02,9,NA,2,16.4545454545455,5,8,9,9,NA,NA,2,11,8,3,6,5,NA,11,NA,11,NA,11,NA,11,8,1,2,8,1,2,6,3,2
Census Tract 1011.01,4,1,2,20.1428571428571,4,5,5,5,NA,NA,2,7,4,3,2,5,2,5,NA,7,NA,7,NA,7,5,NA,2,5,NA,2,5,NA,2
Census Tract 1011.02,4,5,2,17.2727272727273,8,5,9,9,NA,NA,2,11,9,2,4,7,1,10,NA,11,NA,11,NA,11,7,2,2,9,NA,2,6,3,2
Census Tract 102.04,1,NA,NA,140,1,NA,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
Census Tract 103,2,NA,NA,95.5,2,NA,2,1,1,NA,NA,2,2,NA,1,1,NA,2,NA,2,NA,2,NA,2,2,NA,NA,2,NA,NA,2,NA,NA
Census Tract 104.04,NA,NA,1,40,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
Census Tract 104.05,NA,NA,1,50,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
Census Tract 106,2,NA,1,69,1,3,2,2,NA,NA,1,3,2,1,1,2,NA,3,NA,3,NA,3,NA,3,2,NA,1,2,NA,1,2,NA,1
Census Tract 107.02,2,NA,NA,49.5,1,NA,2,1,1,NA,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,2,NA,NA,2,NA,NA,2,NA,NA
Census Tract 1101.03,3,3,2,26.75,5,5,6,5,1,NA,2,8,6,2,5,3,NA,8,NA,8,NA,8,NA,8,5,1,2,6,NA,2,5,1,2
Census Tract 1102.01,2,1,NA,8.33333333333333,3,NA,3,3,NA,NA,NA,3,3,NA,3,NA,NA,3,NA,3,NA,3,NA,3,3,NA,NA,3,NA,NA,3,NA,NA
