City,afterschool.no,afterschool.yes,afterschool.unknown,meancapa,Part-Time,PartorFull,Full-Time,duration.fullyear,duration.schoolyear,duration.summer,duration.unknown,ncenters,allday.no,allday.yes,allday.unknown,English,Engl.unknown,Spanish,Span.unknown,French,Fren.unknown,Port,Port.unknown,Chinese,Chin.unknown,Cantonese,Cant.unknown,dropin.no,dropin.yes,dropin.unknown,openholiday.no,openholiday.yes,openholiday.unknown,emergency.no,emergency.yes,emergency.unknown
Allston,3,2,2,28.4375538329027,3,6,5,5,NA,NA,2,7,5,NA,2,5,2,2,5,1,6,3,4,2,5,NA,7,4,1,2,5,NA,2,4,1,2
Boston,58,21,20,28.4375538329027,52,70,76,74,4,1,20,99,78,1,20,73,26,36,63,6,93,4,95,17,82,21,78,70,9,20,78,1,20,69,10,20
Brighton,15,6,3,28.4375538329027,15,17,16,18,3,NA,3,24,21,NA,3,20,4,11,13,2,22,1,23,3,21,2,22,19,2,3,21,NA,3,18,3,3
Brookline,32,10,12,28.4375538329027,30,43,35,36,6,NA,12,54,42,NA,12,35,19,15,39,4,50,1,53,1,53,NA,54,39,3,12,41,1,12,40,2,12
Cambridge,63,17,24,28.4375538329027,63,80,65,60,18,2,24,104,79,1,24,78,26,38,66,11,93,9,95,3,101,1,103,73,7,24,74,6,24,73,7,24
Charlestown,7,4,1,28.4375538329027,9,5,10,10,1,NA,1,12,11,NA,1,10,2,10,2,2,10,NA,12,NA,12,2,10,10,1,1,11,NA,1,8,3,1
Chelsea,21,19,13,28.4375538329027,27,38,41,40,NA,NA,13,53,40,NA,13,30,23,35,18,NA,53,NA,53,NA,53,NA,53,37,3,13,39,1,13,28,12,13
Dorchester,83,94,27,28.4375538329027,145,88,175,169,7,1,27,204,177,NA,27,168,36,111,93,9,195,12,192,NA,204,1,203,165,12,27,171,6,27,151,26,27
Dorchester Center,13,11,1,28.4375538329027,22,4,24,23,NA,1,1,25,24,NA,1,23,2,12,13,1,24,2,23,NA,25,NA,25,20,4,1,22,2,1,19,5,1
East Boston,28,23,6,28.4375538329027,37,31,46,46,4,1,6,57,51,NA,6,46,11,49,8,1,56,3,54,NA,57,NA,57,45,6,6,49,2,6,39,12,6
Hyde Park,32,40,9,28.4375538329027,63,26,73,71,1,NA,9,81,70,2,9,71,10,52,29,3,78,NA,81,NA,81,NA,81,68,4,9,70,2,9,63,9,9
Jamaica Plain,27,15,9,28.4375538329027,30,30,42,40,1,1,9,51,42,NA,9,37,14,31,20,2,49,1,50,NA,51,1,50,40,2,9,40,2,9,38,4,9
Mattapan,25,14,8,28.4375538329027,29,26,39,39,NA,NA,8,47,39,NA,8,37,10,20,27,4,43,NA,47,NA,47,NA,47,34,5,8,38,1,8,30,9,8
Revere,25,33,14,28.4375538329027,45,44,55,57,1,NA,14,72,57,1,14,50,22,32,40,7,65,3,69,NA,72,NA,72,56,2,14,54,4,14,46,12,14
Roslindale,35,22,8,28.4375538329027,46,29,55,49,8,NA,8,65,57,NA,8,56,9,37,28,3,62,NA,65,NA,65,NA,65,52,5,8,53,3,9,47,10,8
Roxbury,34,30,12,28.4375538329027,55,33,64,56,7,1,12,76,64,NA,12,58,18,44,32,8,68,5,71,2,74,1,75,61,3,12,58,6,12,59,5,12
Somerville,37,9,16,28.4375538329027,38,43,43,44,2,NA,16,62,46,NA,16,43,19,27,35,7,55,15,47,NA,62,NA,62,40,6,16,44,2,16,40,6,16
South Boston,8,7,3,28.4375538329027,10,13,13,12,3,NA,3,18,15,NA,3,15,3,12,6,NA,18,NA,18,3,15,2,16,15,NA,3,15,NA,3,15,NA,3
West Roxbury,23,4,9,28.4375538329027,21,26,25,22,4,1,9,36,27,NA,9,25,11,9,27,2,34,1,35,NA,36,NA,36,26,1,9,25,2,9,22,5,9
Winthrop,10,1,3,28.4375538329027,9,10,9,9,2,NA,3,14,11,NA,3,10,4,3,11,NA,14,NA,14,NA,14,NA,14,11,NA,3,9,2,3,10,1,3
