Zipcode,afterschool.no,afterschool.yes,afterschool.unknown,meancapa,Part-Time,PartorFull,Full-Time,duration.fullyear,duration.schoolyear,duration.summer,duration.unknown,ncenters,English,Engl.unknown,Spanish,Span.unknown,French,Fren.unknown,Port,Port.unknown,Chinese,Chin.unknown,Cantonese,Cant.unknown,dropin.no,dropin.yes,dropin.unknown,openholiday.no,openholiday.yes,openholiday.unknown,emergency.no,emergency.yes,emergency.unknown
2108,3,1,NA,70.5,3,NA,4,4,NA,NA,NA,4,4,NA,2,2,2,2,NA,4,2,2,2,2,4,NA,NA,4,NA,NA,4,NA,NA
2109,1,NA,NA,24,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA
2110,3,NA,NA,34,1,NA,3,3,NA,NA,NA,3,2,1,NA,3,NA,3,NA,3,NA,3,1,2,1,2,NA,3,NA,NA,1,2,NA
2111,7,3,1,63.8181818181818,6,6,10,9,NA,1,1,11,10,1,1,10,NA,11,NA,11,7,4,7,4,8,2,1,10,NA,1,10,NA,1
2113,NA,2,NA,46,2,NA,NA,NA,2,NA,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,2,NA,NA,2,NA,NA,2,NA,NA
2114,5,NA,NA,66,4,NA,5,5,NA,NA,NA,5,5,NA,4,1,1,4,1,4,NA,5,NA,5,3,2,NA,5,NA,NA,3,2,NA
2115,4,1,2,35.7142857142857,3,6,5,5,NA,NA,2,7,5,2,2,5,NA,7,NA,7,2,5,2,5,5,NA,2,5,NA,2,4,1,2
2116,8,4,8,57.8,7,20,13,11,1,NA,8,20,11,9,3,17,1,19,2,18,4,16,3,17,12,NA,8,12,NA,8,13,NA,7
2118,14,8,4,36.2307692307692,14,16,22,22,NA,NA,4,26,19,7,15,11,1,25,NA,26,3,23,5,21,21,1,4,21,1,4,19,3,4
2119,28,22,10,27.55,45,25,50,45,4,1,10,60,46,14,35,25,6,54,3,57,NA,60,NA,60,48,2,10,46,4,10,44,6,10
2120,6,4,4,42.2142857142857,7,11,10,10,NA,NA,4,14,8,6,8,6,1,13,1,13,2,12,1,13,8,2,4,8,2,4,9,1,4
2121,24,33,5,25.9516129032258,45,23,56,55,2,NA,5,62,55,7,37,25,5,57,4,58,NA,62,NA,62,52,5,5,54,3,5,46,11,5
2122,11,7,3,16.952380952381,15,11,16,18,NA,NA,3,21,17,4,12,9,NA,21,1,20,NA,21,NA,21,18,NA,3,17,1,3,15,3,3
2124,25,33,16,18.0675675675676,50,40,58,56,1,1,16,74,54,20,31,43,3,71,1,73,NA,74,NA,74,54,4,16,56,2,16,53,6,15
2125,22,21,3,15.6086956521739,34,15,43,42,1,NA,3,46,40,6,31,15,1,45,6,40,NA,46,1,45,40,3,3,43,NA,3,36,7,3
2126,25,14,8,17.9787234042553,29,26,39,39,NA,NA,8,47,37,10,20,27,4,43,NA,47,NA,47,NA,47,34,5,8,38,1,8,30,9,8
2127,9,7,3,30.6842105263158,11,13,14,12,4,NA,3,19,16,3,12,7,NA,19,NA,19,3,16,2,17,16,NA,3,16,NA,3,16,NA,3
2128,26,24,6,29.375,37,29,46,46,3,1,6,56,45,11,48,8,1,55,3,53,NA,56,NA,56,44,6,6,48,2,6,38,12,6
2129,8,4,2,41,10,7,11,11,1,NA,2,14,11,3,10,4,2,12,NA,14,NA,14,2,12,11,1,2,12,NA,2,9,3,2
2130,27,16,9,24.4230769230769,31,30,43,41,1,1,9,52,38,14,32,20,2,50,1,51,NA,52,1,51,41,2,9,41,2,9,39,4,9
2131,34,21,8,18.015873015873,44,28,54,49,6,NA,8,63,54,9,36,27,3,60,NA,63,NA,63,NA,63,50,5,8,52,2,9,45,10,8
2132,23,4,9,32.5555555555556,21,26,25,22,4,1,9,36,25,11,9,27,2,34,1,35,NA,36,NA,36,26,1,9,25,2,9,22,5,9
2134,3,2,2,44.2857142857143,3,6,5,5,NA,NA,2,7,5,2,2,5,1,6,3,4,2,5,NA,7,4,1,2,5,NA,2,4,1,2
2135,16,6,3,31.4,15,18,17,19,3,NA,3,25,21,4,12,13,2,23,1,24,3,22,2,23,20,2,3,22,NA,3,18,3,4
2136,32,34,8,12.7837837837838,56,26,66,65,1,NA,8,74,64,10,49,25,3,71,NA,74,NA,74,NA,74,62,4,8,64,2,8,59,7,8
2163,1,NA,NA,82,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2199,1,NA,NA,52,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2201,1,NA,NA,54,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA
2203,1,NA,NA,50,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2210,2,NA,3,64.4,NA,8,2,2,NA,NA,3,5,1,4,1,4,NA,5,NA,5,NA,5,NA,5,2,NA,3,2,NA,3,2,NA,3
2215,5,NA,NA,77.2,4,2,4,4,1,NA,NA,5,5,NA,3,2,1,4,1,4,NA,5,NA,5,5,NA,NA,5,NA,NA,5,NA,NA
2222,1,NA,NA,40,1,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
